City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
Hervey Bay,AU,76.26,broken clouds,-25.2986,152.8535,Hervey Bay Hotel
Sampit,ID,72.1,overcast clouds,-2.5333,112.95,Hotel Sultan
Fort Payne,US,68.61,scattered clouds,34.4442,-85.7197,Holiday Inn Express & Suites Fort Payne
Gwadar,PK,76.35,light rain,25.1216,62.3254,Sadaf Resorts
Lakes Entrance,AU,63.16,light rain,-37.8811,147.981,Banjo Patterson Motor Inn
Alta Floresta,BR,77.04,heavy intensity rain,-9.8756,-56.0861,Villas Hotel
Omboue,GA,78.24,overcast clouds,-1.5746,9.2618,Hôtel Georges Faustin Aurat
Cape Town,ZA,64.09,light intensity drizzle,-33.9258,18.4232,Townhouse Hotel
Tarsus,TR,61.18,clear sky,36.9188,34.8784,Burhanoğlu Konağ
Bredasdorp,ZA,61.97,light rain,-34.5322,20.0403,Victoria Hotel
Danville,US,65.03,overcast clouds,36.586,-79.395,Holiday Inn Express Danville
Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,Le Baril
Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Grand Bel Air
Awassa,ET,60.73,light rain,7.05,38.4667,Lake View Hotel
Saint-Georges,GD,78.78,few clouds,12.0564,-61.7485,Deyna's City Inn
Saldanha,ZA,62.26,overcast clouds,-33.0117,17.9442,Hoedjesbaai
Hambantota,LK,77.18,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
Beloha,MG,63.34,clear sky,-25.1667,45.05,Hôtel Oliv
Castro,BR,68.5,light rain,-24.7911,-50.0119,Hotel Central Palace
Tabuk,PH,70.92,broken clouds,17.4189,121.4443,Davidson Hotel
Vaini,TO,79.45,scattered clouds,-21.2,-175.2,Keleti International Resort
Camocim,BR,78.22,moderate rain,-2.9022,-40.8411,Hotel Camocim
Conceicao Da Barra,BR,76.44,clear sky,-18.5933,-39.7322,Porto Marlin Hotel
Byron Bay,AU,68.7,light rain,-28.65,153.6167,Lord Byron Resort
Waycross,US,71.85,moderate rain,31.2136,-82.354,Holiday Inn Express & Suites
That Phanom,TH,75.16,scattered clouds,16.9364,104.7104,Pornnarumitr Hotel
Rawson,AR,68.83,broken clouds,-43.3002,-65.1023,Hotel Deportivo
Victoria,HK,67.19,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
Andapa,MG,70.34,overcast clouds,-14.65,49.65,Hôtel Vatosoa
San Quintin,MX,64.11,clear sky,30.4833,-115.95,Jardines Hotel
Beitbridge,ZW,67.55,clear sky,-22.2167,30.0,Beitbridge Inn & Casino
Saint George,US,66.25,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
Vanimo,PG,77.07,overcast clouds,-2.6741,141.3028,CBC Guesthouse
Angoche,MZ,75.74,light rain,-16.2325,39.9086,Hotel Quirimbas
Kloulklubed,PW,73.9,broken clouds,7.0419,134.2556,The Adventures Inn
Marsa Matruh,EG,61.38,clear sky,31.3525,27.2453,صقور
Plettenberg Bay,ZA,62.1,scattered clouds,-34.0527,23.3716,Milkwood Manor
Sokoni,TZ,79.99,moderate rain,-6.4333,39.55,La Madrugada Beach Hotel
Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Cititel Express
Lompoc,US,68.68,broken clouds,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
Guerrero Negro,MX,70.59,clear sky,27.9769,-114.0611,Plaza sal paraiso
Minab,IR,72.27,clear sky,27.1467,57.0801,هتل صدف
Bengkulu,ID,75.65,moderate rain,-3.8004,102.2655,Dena Hotel
Cidreira,BR,73.69,clear sky,-30.1811,-50.2056,Hotel Castelo
Port Elizabeth,ZA,61.32,broken clouds,-33.918,25.5701,Waterford Hotel
Kensington,AU,69.78,light rain,-33.9167,151.2167,Meriton Serviced Apartments Zetland
Banda Aceh,ID,79.32,broken clouds,5.5577,95.3222,Hotel 61
Itacare,BR,77.67,broken clouds,-14.2775,-38.9967,Pousada Raisis
Tutoia,BR,78.76,light rain,-2.7619,-42.2744,Pousada San Vicente
Sao Filipe,CV,76.21,clear sky,14.8961,-24.4956,Bela Vista
Tshikapa,CD,71.83,broken clouds,-6.4167,20.8,Hôtel TSHAMUNTU
Sale,MA,61.75,broken clouds,34.0389,-6.8166,Le dawliz
Cuauhtemoc,MX,63.27,overcast clouds,28.4167,-106.8667,Best Western Cumbres Inn
Zarautz,ES,60.75,broken clouds,43.2844,-2.1699,Hotel Alameda
Naze,JP,60.96,broken clouds,28.3667,129.4833,ビジネス旅館畠山
Doha,QA,73.38,clear sky,25.2867,51.5333,Al MIrqab
San Vicente,AR,75.96,overcast clouds,-26.6167,-54.1333,Los Lapachos
Tecpan,GT,71.89,clear sky,14.7623,-90.9947,"Hotel la villa de don pancho, Tecpan"
Kununurra,AU,71.58,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
Constitucion,CL,63.97,scattered clouds,-35.3333,-72.4167,Hostal Alameda
Port Blair,IN,78.37,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
Sibolga,ID,75.22,broken clouds,1.7427,98.7792,Hotel Prima Indah
Tsiroanomandidy,MG,67.98,overcast clouds,-18.7667,46.0333,Mega Food Hotel
Kimbe,PG,76.95,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
Touros,BR,78.66,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
Elizabeth City,US,61.05,clear sky,36.2946,-76.2511,Quality Inn
Hirara,JP,70.56,overcast clouds,24.8,125.2833,古謝そば屋
Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Hotel Hero
Kabare,CD,61.72,light rain,-2.4683,28.8242,Panorama Hotel
Buraydah,SA,68.22,clear sky,26.326,43.975,دنا للوحدات السكنية
Wilmington,US,68.95,few clouds,34.2257,-77.9447,Hell's Kitchen
Ponta Do Sol,PT,75.13,overcast clouds,32.6667,-17.1,Estalagem Ponta do Sol
Mankono,CI,79.0,scattered clouds,8.0586,-6.1897,Hôtel Paillotes
Ojinaga,MX,60.42,overcast clouds,29.5667,-104.4167,Hotel
Padang,ID,77.95,light rain,-0.9492,100.3543,losmen Surya
Caravelas,BR,77.13,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
Rocha,UY,76.8,clear sky,-34.4833,-54.3333,Hotel Municipal
Chuy,UY,73.13,few clouds,-33.6971,-53.4616,Alerces
Namibe,AO,75.69,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Abadan,IR,69.49,clear sky,30.3392,48.3043,خانه معلم
San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Terra Sur
Kapiri Mposhi,ZM,61.99,broken clouds,-13.9652,28.6809,Chanika Lodge
Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
Geraldton,AU,73.81,broken clouds,-28.7667,114.6,Ocean Centre Hotel
Cockburn Town,TC,77.5,clear sky,21.4612,-71.1419,The Salt Raker Inn
Galveston,US,76.08,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
Charleston,US,71.83,scattered clouds,32.7766,-79.9309,The Mills House Hotel
Souillac,MU,76.21,overcast clouds,-20.5167,57.5167,Hotel SkylineInn
Issia,CI,77.52,light rain,6.4922,-6.5856,Hôtel-restaurant notre dame des pèlerins
Quatre Cocos,MU,74.08,broken clouds,-20.2078,57.7625,Horisun
North Myrtle Beach,US,71.38,clear sky,33.816,-78.68,Mar Vista Grande
Cartama,ES,61.16,clear sky,36.7107,-4.633,Sol Andalusi
Necochea,AR,76.08,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
Pisco,PE,73.02,overcast clouds,-13.7,-76.2167,La Portada
Lima,PE,79.05,clear sky,-12.0432,-77.0282,Hotel Peach Garden
Gunjur,GM,77.07,clear sky,13.2019,-16.7339,Footsteps Eco Lodge
Port-Gentil,GA,78.76,moderate rain,-0.7193,8.7815,Tara-Mé
Chabahar,IR,76.01,clear sky,25.2919,60.643,هتل سپیده
Ahipara,NZ,63.52,few clouds,-35.1667,173.1667,YHA Ahipara
Antalaha,MG,76.14,overcast clouds,-14.9003,50.2788,Hôtel Florida
Marsabit,KE,69.98,few clouds,2.3284,37.9899,Chicho Hotel
Marsh Harbour,BS,78.03,clear sky,26.5412,-77.0636,Lofty Fig Villas
Atotonilco El Grande,MX,72.05,few clouds,20.2833,-98.6667,La Fuente
Hualmay,PE,78.82,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
Ilebo,CD,77.41,overcast clouds,-4.3167,20.5833,Hôtel des Palmes
Batemans Bay,AU,68.09,overcast clouds,-35.7167,150.1833,Esplanade Hotel
Ternate,ID,79.5,light rain,0.8,127.4,Boulivard ternate
Camalu,MX,64.36,clear sky,30.85,-116.0667,Margaritaville
Sambava,MG,76.62,light rain,-14.2667,50.1667,Royal Sava Hôtel
Havelock,US,64.35,overcast clouds,34.8791,-76.9013,Quality Inn Havelock Hwy 70
Las Palmas,ES,65.19,clear sky,28.4204,-14.0131,Era de La Corte
Inirida,CO,78.78,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
Ishigaki,JP,71.62,overcast clouds,24.3448,124.1572,アートホテル石垣島
Nabire,ID,74.84,overcast clouds,-3.3667,135.4833,Hotel Anggrek
Vangaindrano,MG,69.89,overcast clouds,-23.35,47.6,Fanilo
Bowen,AU,72.9,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
Port Lincoln,AU,62.2,few clouds,-34.7333,135.8667,Boston Hotel
Martapura,ID,75.29,broken clouds,-3.4167,114.85,Q-Hotel Grand Dafam
Atambua,ID,71.85,overcast clouds,-9.1061,124.8925,Hotel Matahari
Meulaboh,ID,76.35,overcast clouds,4.1363,96.1285,Hotel Meuligou
Myitkyina,MM,60.4,few clouds,25.3833,97.4,New Light Hotel
Asfi,MA,64.85,clear sky,32.2994,-9.2372,Golden Tulip Farah Safi
Porto Santo,PT,66.58,clear sky,33.072,-16.3415,Praia Dourada
Inhambane,MZ,69.87,clear sky,-23.865,35.3833,Hotel de Inhambane
Puri,IN,79.32,clear sky,19.8,85.85,Divine Beach Homestay
Mosquera,CO,60.89,broken clouds,4.7059,-74.2302,Hotel San Martin
Sakakah,SA,64.96,clear sky,29.9697,40.2064,فندق النزل
Dawei,MM,76.41,overcast clouds,14.0833,98.2,Royal Dawei ဟိုတယ်
Matara,LK,75.15,few clouds,5.9485,80.5353,Villa Palm Breeze
Jalalabad,AF,65.34,light rain,34.4265,70.4515,Jalalabad Panch Setara Hotel
Sabha,LY,69.49,clear sky,27.0377,14.4283,فندق الكاظم-سبها
Iquitos,PE,79.52,overcast clouds,-3.7481,-73.2472,Marfil del Amazonas
Ferrol,ES,66.72,broken clouds,43.4832,-8.2369,Hotel El Suizo
Jalu,LY,67.28,broken clouds,29.0331,21.5482,فندق جالو السياحي
Talipparamba,IN,73.47,scattered clouds,12.05,75.35,hoizon International
Santa,PH,75.34,broken clouds,17.486,120.4348,Monte Leah Beach Resort
Ulladulla,AU,62.76,broken clouds,-35.35,150.4667,Hotel Marlin
Yenagoa,NG,79.61,overcast clouds,4.9247,6.2642,Peretimi Hotels Ltd.
Namanga,KE,67.5,light rain,-2.5433,36.7905,Namange Masaai Hotel
Mareeba,AU,70.45,few clouds,-17.0,145.4333,The Gateway Hotel
Kalmunai,LK,75.92,scattered clouds,7.4167,81.8167,Saji new food
Ballina,AU,68.77,light rain,-28.8667,153.5667,Ballina Beach Resort
Barcelos,PT,64.69,broken clouds,41.5388,-8.6151,Hotel Dom Nuno
Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Hotel Grand Senyiur
Antsohihy,MG,74.73,light rain,-14.8796,47.9875,Escale
Riyadh,SA,68.14,clear sky,24.6877,46.7219,White Palace Hotel
Cuenca,EC,61.66,light rain,-2.8833,-78.9833,Hostal Astoria
Alice Springs,AU,69.35,broken clouds,-23.7,133.8833,Aurora Alice Springs
Tuyen Quang,VN,64.92,overcast clouds,21.8233,105.2181,Khác San Hoa Mai
Grand Gaube,MU,74.37,broken clouds,-20.0064,57.6608,Coco Villa
Viedma,AR,75.45,broken clouds,-40.8135,-62.9967,Níjar
Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Hotel Savoy
Itarema,BR,77.99,overcast clouds,-2.9248,-39.9167,Pousada Oásis
Yulara,AU,70.3,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
Nishihara,JP,67.28,overcast clouds,26.1842,127.7558,ユインチホテル南城
Pacocha,PE,77.14,clear sky,-17.5833,-71.3333,Gran Hotel Ilo
Garowe,SO,78.62,clear sky,8.4054,48.4845,Red Sea
Mulege,MX,74.68,clear sky,26.8833,-111.9833,Hacienda Hotel
Manokwari,ID,77.67,overcast clouds,-0.8667,134.0833,Hotel Arfak
Waingapu,ID,77.11,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
Mormugao,IN,73.89,few clouds,15.4,73.8,Hotel Rukhmini
Vila Franca Do Campo,PT,61.21,light rain,37.7167,-25.4333,Vinha d'Areia Beach Hotel
Mount Isa,AU,69.57,clear sky,-20.7333,139.5,Ibis Styles
