City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zyryanka,RU,2022-12-31 05:58:50,65.75,150.85,-37.19,100,100,4.85
1,Isangel,VU,2022-12-31 05:58:51,-19.55,169.2667,81.45,82,24,14.25
2,Ponta Do Sol,PT,2022-12-31 05:58:51,32.6667,-17.1,69.01,73,93,6.29
3,Busselton,AU,2022-12-31 05:58:52,-33.65,115.3333,76.32,40,100,15.32
4,Chuy,UY,2022-12-31 05:58:52,-33.6971,-53.4616,68.61,70,4,8.63
5,Harper,LR,2022-12-31 05:58:53,4.375,-7.7169,75.34,90,30,3.85
6,Chicama,PE,2022-12-31 05:58:53,-7.8447,-79.1469,64.94,79,99,4.38
7,Mitsamiouli,KM,2022-12-31 05:58:53,-11.3847,43.2844,86.29,62,40,5.75
8,Lagoa,PT,2022-12-31 05:58:54,39.05,-27.9833,53.42,58,99,29.08
9,Goderich,CA,2022-12-31 05:58:54,43.7501,-81.7165,43.12,93,100,4.61
10,Viransehir,TR,2022-12-31 05:58:54,37.2353,39.7631,43.16,38,0,4.03
11,Bambanglipuro,ID,2022-12-31 05:58:55,-7.95,110.2833,83.1,72,57,4.88
12,Vaini,TO,2022-12-31 05:58:55,-21.2,-175.2,80.76,83,75,2.3
13,Ushuaia,AR,2022-12-31 05:58:56,-54.8,-68.3,40.66,75,0,9.22
14,San Policarpo,PH,2022-12-31 05:58:56,12.1791,125.5072,82.38,73,92,6.26
15,Talnakh,RU,2022-12-31 05:58:56,69.4865,88.3972,-21.5,94,40,6.4
16,Yakima,US,2022-12-31 05:58:57,46.4665,-120.6678,34.56,95,97,3.06
17,Geraldton,AU,2022-12-31 05:58:57,-28.7667,114.6,79.21,50,40,21.85
18,Angoche,MZ,2022-12-31 05:58:57,-16.2325,39.9086,82.44,71,98,4.61
19,Luderitz,NA,2022-12-31 05:58:58,-26.6481,15.1594,68.27,68,0,4.47
20,Mataura,NZ,2022-12-31 05:58:58,-46.1927,168.8643,65.48,50,73,5.82
21,Nikolskoye,RU,2022-12-31 05:58:59,59.7035,30.7861,37.29,93,100,8.79
22,Bergama,TR,2022-12-31 05:58:59,39.1207,27.1805,47.77,87,47,2.55
23,Albany,US,2022-12-31 05:58:44,42.6001,-73.9662,41.88,77,93,3.0
24,Srednekolymsk,RU,2022-12-31 05:59:00,67.45,153.6833,-43.85,100,100,2.8
25,Tecpan,GT,2022-12-31 05:59:00,14.7623,-90.9947,51.62,94,51,1.95
26,Puerto Ayora,EC,2022-12-31 05:59:00,-0.7393,-90.3518,72.55,97,59,1.99
27,Hermanus,ZA,2022-12-31 05:59:01,-34.4187,19.2345,67.8,70,10,16.87
28,East London,ZA,2022-12-31 05:59:01,-33.0153,27.9116,67.14,72,0,3.44
29,Moose Jaw,CA,2022-12-31 05:59:01,50.4001,-105.5344,3.45,92,96,0.0
30,Cabo San Lucas,MX,2022-12-31 05:57:43,22.8909,-109.9124,70.52,74,8,6.31
31,Stornoway,GB,2022-12-31 05:59:02,58.2093,-6.3865,33.76,94,75,5.75
32,Edson,CA,2022-12-31 05:59:02,53.5835,-116.4356,10.54,100,75,5.75
33,Zhanakorgan,KZ,2022-12-31 05:59:03,43.9098,67.2495,30.45,74,87,10.09
34,Bosaso,SO,2022-12-31 05:59:03,11.2842,49.1816,75.18,88,100,20.71
35,Qaanaaq,GL,2022-12-31 05:59:04,77.484,-69.3632,-21.24,60,30,7.45
36,Fortuna,US,2022-12-31 05:59:04,40.5982,-124.1573,56.35,95,100,0.0
37,Bredasdorp,ZA,2022-12-31 05:59:05,-34.5322,20.0403,67.78,62,78,14.63
38,Vanimo,PG,2022-12-31 05:59:05,-2.6741,141.3028,82.74,76,95,11.36
39,Rikitea,PF,2022-12-31 05:59:06,-23.1203,-134.9692,78.17,69,69,4.0
40,Hilo,US,2022-12-31 05:59:06,19.7297,-155.09,72.25,92,100,3.44
41,Sur,OM,2022-12-31 05:59:07,22.5667,59.5289,73.35,43,0,7.45
42,Yar-Sale,RU,2022-12-31 05:59:07,66.8333,70.8333,-25.96,100,73,5.01
43,Victoria,HK,2022-12-31 05:59:00,22.2855,114.1577,69.21,62,4,11.99
44,Dinar,TR,2022-12-31 05:59:08,38.065,30.1656,33.76,73,14,1.97
45,Oranjestad,AW,2022-12-31 06:00:08,12.524,-70.027,77.92,90,1,4.0
46,Castro,BR,2022-12-31 06:00:10,-24.7911,-50.0119,58.59,97,12,3.06
47,Naryan-Mar,RU,2022-12-31 06:00:10,67.6713,53.087,0.1,90,42,12.84
48,Show Low,US,2022-12-31 06:00:11,34.2542,-110.0298,38.08,94,100,24.16
49,Iqaluit,CA,2022-12-31 06:00:12,63.7506,-68.5145,-10.35,81,100,6.53
50,Bartlesville,US,2022-12-31 05:57:37,36.7473,-95.9808,40.1,85,100,5.64
51,Macamic,CA,2022-12-31 06:00:14,48.7502,-78.9996,31.64,94,100,6.46
52,Torbay,CA,2022-12-31 06:00:14,47.6666,-52.7314,30.76,86,71,5.01
53,Ligayan,PH,2022-12-31 06:00:15,4.6533,119.4706,80.19,75,97,4.03
54,Pirawa,IN,2022-12-31 06:00:16,24.1551,76.0273,69.44,27,0,8.79
55,Savannah Bight,HN,2022-12-31 06:00:17,16.45,-85.85,79.95,80,5,24.07
56,Cidreira,BR,2022-12-31 06:00:17,-30.1811,-50.2056,69.85,93,0,9.82
57,Bluff,NZ,2022-12-31 06:00:18,-46.6,168.3333,56.39,62,87,15.84
58,Yulara,AU,2022-12-31 06:00:19,-25.2406,130.9889,97.25,23,81,14.58
59,Bambous Virieux,MU,2022-12-31 06:00:19,-20.3428,57.7575,83.21,62,0,5.44
60,Tuktoyaktuk,CA,2022-12-31 06:00:20,69.4541,-133.0374,2.86,96,99,9.89
61,Karratha,AU,2022-12-31 06:00:20,-20.7377,116.8463,94.71,39,65,16.91
62,Mahebourg,MU,2022-12-31 06:00:21,-20.4081,57.7,83.25,63,0,3.89
63,Yellowknife,CA,2022-12-31 05:56:18,62.456,-114.3525,5.52,92,75,11.5
64,Matveyev Kurgan,RU,2022-12-31 06:00:22,47.5645,38.8695,39.83,93,99,7.2
65,Kapaa,US,2022-12-31 06:00:22,22.0752,-159.319,71.58,91,1,7.56
66,Clyde River,CA,2022-12-31 06:00:23,70.4692,-68.5914,-13.65,98,100,4.38
67,Sitka,US,2022-12-31 06:00:24,57.0531,-135.33,39.09,93,100,6.91
68,Avarua,CK,2022-12-31 06:00:25,-21.2078,-159.775,77.13,82,100,9.6
69,Matay,EG,2022-12-31 06:00:25,28.419,30.7792,54.3,82,23,9.26
70,Letovice,CZ,2022-12-31 06:00:26,49.5471,16.5736,40.68,90,100,8.23
71,Plymouth,US,2022-12-31 05:57:10,41.8334,-70.8328,48.87,85,83,9.17
72,Verkhnevilyuysk,RU,2022-12-31 06:00:26,63.4453,120.3167,1.13,94,100,7.76
73,Half Moon Bay,US,2022-12-31 06:00:27,37.4636,-122.4286,62.01,94,100,16.11
74,Kodiak,US,2022-12-31 06:00:28,57.79,-152.4072,38.14,93,100,22.68
75,Hobart,AU,2022-12-31 06:00:09,-42.8794,147.3294,82.27,61,20,18.41
76,Cape Town,ZA,2022-12-31 05:55:36,-33.9258,18.4232,72.12,53,0,13.0
77,Cap Malheureux,MU,2022-12-31 06:00:29,-19.9842,57.6142,83.46,59,0,3.0
78,Remanso,BR,2022-12-31 06:00:30,-9.6179,-42.0831,75.45,63,51,8.39
79,Tazovskiy,RU,2022-12-31 06:00:30,67.4667,78.7,-23.44,94,13,7.38
80,Nobres,BR,2022-12-31 06:00:31,-14.7203,-56.3275,73.56,95,99,3.78
81,Camacha,PT,2022-12-31 06:00:32,33.0833,-16.3333,63.82,88,20,12.66
82,Eureka,US,2022-12-31 06:00:32,40.8021,-124.1637,56.68,97,100,7.0
83,Kyra,RU,2022-12-31 06:00:32,49.5776,111.9753,8.11,71,3,6.78
84,Banjar,ID,2022-12-31 06:00:33,-8.19,114.9675,80.89,88,97,10.45
85,Isla Vista,US,2022-12-31 06:00:33,34.4133,-119.861,60.35,92,100,0.0
86,Haines Junction,CA,2022-12-31 06:00:34,60.7522,-137.5108,5.38,98,100,0.63
87,Leshukonskoye,RU,2022-12-31 06:00:34,64.8989,45.7622,5.92,94,86,8.57
88,Saskylakh,RU,2022-12-31 06:00:35,71.9167,114.0833,2.75,94,100,25.23
89,Taboga,IT,2022-12-31 06:00:35,46.2663,13.1092,49.82,83,100,0.81
90,Bengkulu,ID,2022-12-31 06:00:35,-3.8004,102.2655,82.45,74,98,15.39
91,Punta Arenas,CL,2022-12-31 06:01:36,-53.15,-70.9167,44.11,75,99,4.88
92,Panguna,PG,2022-12-31 06:01:36,-6.3164,155.4848,78.69,63,91,2.66
93,Zdvinsk,RU,2022-12-31 06:01:37,54.7021,78.661,3.9,95,100,3.94
94,Cururupu,BR,2022-12-31 06:01:37,-1.8283,-44.8683,73.8,96,88,2.13
95,Saint-Philippe,RE,2022-12-31 06:01:38,-21.3585,55.7679,81.99,75,50,3.74
96,Coihaique,CL,2022-12-31 05:58:31,-45.5752,-72.0662,54.21,87,75,4.61
97,Barrow,US,2022-12-31 06:01:38,71.2906,-156.7887,1.42,85,100,12.66
98,Caravelas,BR,2022-12-31 06:01:39,-17.7125,-39.2481,72.32,93,25,4.23
99,Port Elizabeth,ZA,2022-12-31 06:01:39,-33.918,25.5701,70.32,68,36,5.01
100,Nanortalik,GL,2022-12-31 06:01:39,60.1432,-45.2371,12.38,83,35,8.79
101,Manakara,MG,2022-12-31 06:01:40,-22.1333,48.0167,83.07,58,0,4.9
102,Atuona,PF,2022-12-31 05:56:56,-9.8,-139.0333,78.21,70,11,18.34
103,Severo-Kurilsk,RU,2022-12-31 06:01:40,50.6789,156.125,25.21,82,70,15.75
104,Hanmer Springs,NZ,2022-12-31 06:01:41,-42.5167,172.8167,61.21,57,19,5.99
105,Fare,PF,2022-12-31 06:01:41,-16.7,-151.0167,81.14,75,56,12.59
106,Hervey Bay,AU,2022-12-31 06:01:42,-25.2986,152.8535,77.38,69,42,19.44
107,Leningradskiy,RU,2022-12-31 06:01:42,69.3833,178.4167,-29.2,96,86,7.45
108,Qeshm,IR,2022-12-31 06:01:43,26.9581,56.2719,66.07,33,91,10.47
109,Carutapera,BR,2022-12-31 06:01:43,-1.195,-46.02,75.56,90,97,3.58
110,Olinda,BR,2022-12-31 06:01:43,-8.0089,-34.8553,80.33,69,40,10.36
111,Hambantota,LK,2022-12-31 06:01:44,6.1241,81.1185,84.54,70,20,12.66
112,Tasiilaq,GL,2022-12-31 06:01:44,65.6145,-37.6368,5.16,58,6,7.7
113,Lorengau,PG,2022-12-31 06:01:45,-2.0226,147.2712,83.17,78,95,8.34
114,Paamiut,GL,2022-12-31 06:01:45,61.994,-49.6678,4.35,83,26,9.46
115,Airai,TL,2022-12-31 06:01:45,-8.9266,125.4092,64.99,84,98,6.22
116,New Norfolk,AU,2022-12-31 06:01:46,-42.7826,147.0587,81.91,36,41,4.0
117,Komsomolskiy,UZ,2022-12-31 06:01:46,40.4272,71.7189,38.12,81,75,0.0
118,Katsuura,JP,2022-12-31 06:01:47,35.1333,140.3,50.09,56,98,4.97
119,Udgir,IN,2022-12-31 06:01:47,18.3833,77.1167,80.17,32,12,2.86
120,Thompson,CA,2022-12-31 05:58:04,55.7435,-97.8558,-12.84,84,75,0.0
121,Port Hardy,CA,2022-12-31 06:01:48,50.6996,-127.4199,42.67,93,100,10.4
122,Sao Filipe,CV,2022-12-31 06:01:48,14.8961,-24.4956,70.7,65,24,4.54
123,Kavieng,PG,2022-12-31 06:01:49,-2.5744,150.7967,83.89,71,88,6.89
124,Zhezkazgan,KZ,2022-12-31 06:01:49,47.8043,67.7144,17.58,86,75,15.66
125,Bad Driburg,DE,2022-12-31 06:01:50,51.7333,9.0167,57.74,89,100,28.99
126,Teguldet,RU,2022-12-31 06:01:50,57.3064,88.1667,7.74,93,100,5.68
127,Jamestown,US,2022-12-31 06:01:50,42.097,-79.2353,46.02,88,100,3.0
128,Sechura,PE,2022-12-31 06:01:51,-5.5569,-80.8222,69.82,78,100,7.05
129,Sweetwater,US,2022-12-31 06:01:51,25.7634,-80.3731,75.97,96,0,4.61
130,Kasongo-Lunda,CD,2022-12-31 06:01:52,-6.4667,16.8167,70.66,97,100,1.83
131,Dryden,CA,2022-12-31 06:01:01,49.7833,-92.7503,-5.4,100,92,2.53
132,Kahului,US,2022-12-31 06:00:06,20.8947,-156.47,73.85,90,28,8.99
133,Tornio,FI,2022-12-31 06:01:52,65.8481,24.1466,32.02,97,100,14.18
134,Zarinsk,RU,2022-12-31 06:01:53,53.7074,84.9493,21.38,95,100,5.32
135,Port Alfred,ZA,2022-12-31 06:01:53,-33.5906,26.891,68.9,70,37,14.05
136,Bethel,US,2022-12-31 06:01:54,41.3712,-73.414,47.91,80,87,4.25
137,Nizhneangarsk,RU,2022-12-31 06:01:54,55.7833,109.55,-4.83,77,6,2.37
138,Qaqortoq,GL,2022-12-31 06:02:55,60.7167,-46.0333,-3.37,74,1,6.26
139,Kochubey,RU,2022-12-31 06:02:55,44.3861,46.5825,37.0,78,86,3.87
140,Faanui,PF,2022-12-31 06:02:55,-16.4833,-151.75,81.07,73,90,10.58
141,Saldanha,ZA,2022-12-31 06:01:18,-33.0117,17.9442,66.27,61,0,11.7
142,Wattegama,LK,2022-12-31 06:02:56,6.7989,81.4808,83.8,53,95,10.18
143,Gwanda,ZW,2022-12-31 06:02:56,-20.9333,29.0,63.39,86,100,8.97
144,Naze,JP,2022-12-31 06:02:57,28.3667,129.4833,58.73,59,34,17.25
145,Butaritari,KI,2022-12-31 06:02:57,3.0707,172.7902,80.94,78,91,14.05
146,Riyadh,SA,2022-12-31 05:58:20,24.6877,46.7219,50.14,85,98,2.53
147,Hithadhoo,MV,2022-12-31 06:02:58,-0.6,73.0833,80.91,70,18,5.91
148,Plattsburgh,US,2022-12-31 06:02:58,44.6995,-73.4529,54.36,87,100,7.92
149,Pacasmayo,PE,2022-12-31 06:02:59,-7.4006,-79.5714,67.87,84,98,8.3
150,Sola,VU,2022-12-31 06:03:00,-13.8833,167.55,82.65,78,100,18.21
151,Upernavik,GL,2022-12-31 06:03:00,72.7868,-56.1549,-10.88,87,100,2.35
152,Ilulissat,GL,2022-12-31 06:03:01,69.2167,-51.1,6.82,78,100,21.85
153,Madanapalle,IN,2022-12-31 06:03:01,13.55,78.5,78.13,40,4,5.61
154,Morondava,MG,2022-12-31 06:03:01,-20.2833,44.2833,82.15,71,12,2.1
155,Sao Joao Da Barra,BR,2022-12-31 06:02:43,-21.6403,-41.0511,74.01,90,100,5.48
156,Krasnouralsk,RU,2022-12-31 06:03:02,58.3638,60.0407,-10.77,98,100,5.32
157,Bathsheba,BB,2022-12-31 06:03:02,13.2167,-59.5167,76.78,75,8,17.85
158,Codrington,AU,2022-12-31 06:03:03,-38.2667,141.9667,69.73,63,0,13.49
159,Adrar,MR,2022-12-31 06:03:03,20.5022,-10.0711,61.88,57,89,12.53
160,Chokurdakh,RU,2022-12-31 06:03:04,70.6333,147.9167,-34.71,100,67,7.09
161,Imbituba,BR,2022-12-31 06:03:04,-28.24,-48.6703,67.84,87,2,10.69
162,Hamilton,US,2022-12-31 06:02:53,39.1834,-84.5333,56.93,86,100,1.01
163,Azle,US,2022-12-31 06:03:05,32.8951,-97.5459,55.38,72,100,5.01
164,Palmer,US,2022-12-31 06:03:00,42.1584,-72.3287,49.39,87,0,0.0
165,Katobu,ID,2022-12-31 06:03:06,-4.9408,122.5276,87.75,58,100,6.98
166,Purpe,RU,2022-12-31 06:03:06,64.4803,76.6897,-16.69,98,25,9.4
167,Fallon,US,2022-12-31 06:01:42,39.4735,-118.7774,49.44,86,98,25.52
168,Hualmay,PE,2022-12-31 06:03:07,-11.0964,-77.6139,68.5,88,100,7.81
169,Georgetown,MY,2022-12-31 06:00:39,5.4112,100.3354,85.93,54,20,6.91
170,Yei,SS,2022-12-31 06:03:08,4.095,30.6779,75.42,49,90,3.04
171,Broken Hill,AU,2022-12-31 06:03:08,-31.95,141.4333,97.0,22,18,9.13
172,Assenede,BE,2022-12-31 06:03:09,51.226,3.7509,62.1,88,100,15.01
173,Shemgang,BT,2022-12-31 06:03:09,27.2169,90.6579,48.34,55,92,4.59
174,Rio Grande,BR,2022-12-31 06:03:10,-32.035,-52.0986,69.66,85,0,12.75
175,Alofi,NU,2022-12-31 06:03:10,-19.0595,-169.9187,77.94,85,100,12.55
176,Senador Guiomard,BR,2022-12-31 06:03:11,-10.1522,-67.7392,69.8,99,97,2.24
177,Presidencia Roque Saenz Pena,AR,2022-12-31 06:03:11,-26.7852,-60.4388,73.36,48,35,5.79
178,Norman Wells,CA,2022-12-31 06:03:12,65.282,-126.8329,-15.23,98,84,4.07
179,Camocim,BR,2022-12-31 06:03:12,-2.9022,-40.8411,76.44,86,16,9.15
180,Loyga,RU,2022-12-31 06:03:13,61.0784,44.6075,17.89,95,100,7.61
181,Sambava,MG,2022-12-31 06:04:13,-14.2667,50.1667,80.8,67,21,6.22
182,Saint George,US,2022-12-31 06:04:13,37.1041,-113.5841,41.59,93,100,0.0
183,Arraial Do Cabo,BR,2022-12-31 06:03:09,-22.9661,-42.0278,72.28,87,100,15.35
184,Saint Anthony,US,2022-12-31 06:04:14,45.0205,-93.218,19.33,91,100,5.75
185,Vardo,NO,2022-12-31 06:04:14,70.3705,31.1107,28.38,80,100,25.32
186,Te Anau,NZ,2022-12-31 06:01:02,-45.4167,167.7167,70.59,46,39,5.41
187,Jasper,US,2022-12-31 06:01:01,37.2001,-94.3502,42.24,77,100,3.0
188,Bud,US,2022-12-31 06:04:15,39.447,-86.1758,51.82,97,100,4.99
189,Qasigiannguit,GL,2022-12-31 06:04:15,68.8193,-51.1922,7.05,96,100,4.18
190,Robertsport,LR,2022-12-31 06:04:16,6.7533,-11.3686,74.44,78,53,7.29
191,Marzuq,YE,2022-12-31 06:04:17,14.4,46.4667,63.95,37,3,3.78
192,Treinta Y Tres,UY,2022-12-31 06:04:17,-33.2333,-54.3833,66.88,45,1,3.76
193,Carnarvon,AU,2022-12-31 06:04:18,-24.8667,113.6333,81.19,53,0,21.88
194,Rio Cuarto,AR,2022-12-31 06:00:57,-33.1307,-64.3499,72.48,30,14,8.37
195,Marshfield,US,2022-12-31 06:00:03,44.6689,-90.1718,19.31,97,99,1.3
196,Puerto Madryn,AR,2022-12-31 06:04:19,-42.7692,-65.0385,62.46,55,24,12.68
197,Camacupa,AO,2022-12-31 06:04:19,-12.0167,17.4833,61.9,92,90,3.47
198,Kurumkan,RU,2022-12-31 06:04:20,54.3,110.3,-3.89,87,44,1.34
199,Los Llanos De Aridane,ES,2022-12-31 06:04:20,28.6585,-17.9182,65.95,68,0,12.66
200,Grindavik,IS,2022-12-31 06:04:21,63.8424,-22.4338,19.87,86,100,20.71
201,Danielskuil,ZA,2022-12-31 06:00:28,-28.1887,23.5395,71.85,54,33,13.96
202,Onega,RU,2022-12-31 06:04:21,63.9061,38.1404,12.25,94,100,9.82
203,Westport,US,2022-12-31 06:02:41,41.1415,-73.3579,50.18,86,82,1.01
204,Lebu,CL,2022-12-31 06:04:23,-37.6167,-73.65,55.83,91,0,17.07
205,Semey,KZ,2022-12-31 06:04:23,50.4111,80.2275,25.02,80,40,8.95
206,Souillac,MU,2022-12-31 06:04:23,-20.5167,57.5167,82.78,65,40,10.36
207,Ribeira Grande,PT,2022-12-31 06:04:24,38.5167,-28.7,52.77,62,100,5.99
208,Makokou,GA,2022-12-31 06:04:25,0.5738,12.8642,70.77,89,29,1.54
209,Pando,UY,2022-12-31 06:04:25,-34.7167,-55.95,71.19,42,0,5.86
210,Muros,ES,2022-12-31 06:04:25,42.7762,-9.0603,60.1,80,94,32.97
211,Nichinan,JP,2022-12-31 06:04:26,31.6,131.3667,53.31,49,4,12.59
212,Anadyr,RU,2022-12-31 06:04:27,64.75,177.4833,-28.53,95,53,8.28
213,Vao,NC,2022-12-31 06:04:27,-22.6667,167.4833,78.76,80,31,13.87
214,Hobyo,SO,2022-12-31 06:04:27,5.3505,48.5268,79.97,77,85,20.47
215,Dano,BF,2022-12-31 06:04:28,11.15,-3.0667,64.76,23,46,6.29
216,Diban,SY,2022-12-31 06:04:28,35.0365,40.5167,50.16,53,0,4.14
217,Yaan,NG,2022-12-31 06:04:29,7.3833,8.5667,67.53,26,87,6.26
218,San Antero,CO,2022-12-31 06:04:29,9.3741,-75.7589,77.65,85,8,7.67
219,Colombia,CU,2022-12-31 06:01:28,20.9881,-77.4297,70.18,91,0,7.31
220,Cockburn Town,TC,2022-12-31 06:04:13,21.4612,-71.1419,78.19,78,4,20.56
221,Awjilah,LY,2022-12-31 06:04:30,29.1081,21.2869,52.25,75,39,6.49
222,Yelizovo,RU,2022-12-31 06:04:30,53.1873,158.3805,16.38,93,100,5.57
223,Kananga,CD,2022-12-31 06:04:31,-5.8958,22.4178,69.24,89,99,2.19
224,Roebourne,AU,2022-12-31 06:04:31,-20.7833,117.1333,92.57,44,53,13.91
225,Aklavik,CA,2022-12-31 06:04:32,68.2191,-135.0107,-2.04,97,98,7.58
226,Diamantino,BR,2022-12-31 06:04:32,-14.4086,-56.4461,72.28,97,100,3.87
227,Farafangana,MG,2022-12-31 06:04:32,-22.8167,47.8333,80.19,67,1,3.51
228,Andenes,NO,2022-12-31 06:05:33,69.3143,16.1194,39.18,65,75,32.21
229,Terrace,CA,2022-12-31 06:05:33,54.5163,-128.6035,18.37,93,91,2.77
230,Gilgit,PK,2022-12-31 06:05:34,35.9221,74.3087,37.72,48,43,4.25
231,Khatanga,RU,2022-12-31 06:05:34,71.9667,102.5,-3.05,82,100,22.79
232,Labuhan,ID,2022-12-31 06:05:34,-6.8844,112.2051,80.1,84,100,20.22
233,Poum,NC,2022-12-31 06:05:35,-20.2333,164.0167,81.21,78,17,19.13
234,Bitam,GA,2022-12-31 06:05:35,2.076,11.5007,69.08,96,93,0.47
235,Marsa Matruh,EG,2022-12-31 06:05:35,31.3525,27.2453,60.84,77,55,5.12
236,Tucuman,AR,2022-12-31 06:05:36,-26.8241,-65.2226,73.4,88,75,3.44
237,Walvis Bay,NA,2022-12-31 06:05:36,-22.9575,14.5053,67.08,82,8,7.18
238,Mananjary,MG,2022-12-31 06:05:37,-21.2167,48.3333,82.94,60,0,3.42
239,Provideniya,RU,2022-12-31 06:05:37,64.3833,-173.3,-4.34,84,91,12.48
240,Miles City,US,2022-12-31 06:05:38,46.4083,-105.8406,29.37,74,100,5.75
241,Asahikawa,JP,2022-12-31 06:05:38,43.7678,142.3703,28.17,85,92,4.88
242,Bumba,CD,2022-12-31 06:05:38,2.1833,22.4667,76.46,60,52,0.81
243,Takoradi,GH,2022-12-31 06:05:39,4.8845,-1.7554,76.46,86,29,2.75
244,Pudozh,RU,2022-12-31 06:05:39,61.8099,36.5345,24.42,97,100,3.53
245,Shimoda,JP,2022-12-31 06:05:39,34.6667,138.95,47.1,60,58,9.35
246,Saint-Pierre,RE,2022-12-31 06:05:40,-21.3393,55.4781,83.91,65,0,6.91
247,Batsfjord,NO,2022-12-31 06:05:40,70.6345,29.7185,24.73,86,100,29.93
248,Pangnirtung,CA,2022-12-31 06:05:41,66.1451,-65.7125,-11.22,89,100,1.45
249,Mersing,MY,2022-12-31 06:05:41,2.4312,103.8405,82.72,66,99,14.29
250,Ciro Marina,IT,2022-12-31 06:05:41,39.3732,17.126,56.03,63,54,6.53
251,Gorontalo,ID,2022-12-31 06:05:42,0.5412,123.0595,87.44,60,100,7.52
252,Huarmey,PE,2022-12-31 06:05:42,-10.0681,-78.1522,69.31,85,100,7.11
253,Chunhuhub,MX,2022-12-31 06:05:43,19.55,-88.6833,69.46,99,14,1.7
254,Atar,MR,2022-12-31 06:05:43,20.5169,-13.0499,65.93,68,71,7.94
255,Mindyak,RU,2022-12-31 06:05:43,54.0231,58.7891,1.2,98,71,0.38
256,Dikson,RU,2022-12-31 06:05:44,73.5069,80.5464,-5.8,93,67,23.29
257,Luancheng,CN,2022-12-31 06:05:44,37.8792,114.6517,46.65,14,0,4.47
258,Viedma,AR,2022-12-31 06:05:44,-40.8135,-62.9967,61.65,48,34,6.89
259,Mar Del Plata,AR,2022-12-31 06:01:46,-38.0023,-57.5575,63.09,86,54,8.01
260,Arlit,NE,2022-12-31 06:05:45,18.7369,7.3853,55.81,22,9,5.77
261,Havre-Saint-Pierre,CA,2022-12-31 06:05:46,50.2334,-63.5986,31.96,97,100,4.25
262,High Prairie,CA,2022-12-31 06:01:55,55.4334,-116.4858,-2.65,99,52,2.06
263,Iquitos,PE,2022-12-31 06:05:46,-3.7481,-73.2472,75.24,88,75,4.61
264,Vallenar,CL,2022-12-31 06:05:46,-28.5708,-70.7581,61.25,76,0,2.68
265,Fairbanks,US,2022-12-31 06:05:47,64.8378,-147.7164,0.61,82,0,0.0
266,Salalah,OM,2022-12-31 06:05:47,17.0151,54.0924,78.89,31,0,19.57
267,Nalut,LY,2022-12-31 06:05:48,30.3333,10.85,47.79,40,0,8.55
268,Mogadishu,SO,2022-12-31 06:05:13,2.0371,45.3438,80.87,70,21,16.35
269,Itoman,JP,2022-12-31 06:05:48,26.1247,127.6694,66.22,68,75,19.57
270,Urengoy,RU,2022-12-31 06:05:49,65.9667,78.3667,-20.51,89,6,7.47
271,Quatre Cocos,MU,2022-12-31 06:05:49,-20.2078,57.7625,83.08,60,0,5.41
272,Uturoa,PF,2022-12-31 06:05:50,-16.7333,-151.4333,81.21,73,73,11.3
273,Port Lincoln,AU,2022-12-31 06:05:50,-34.7333,135.8667,70.9,57,1,9.73
274,Balikpapan,ID,2022-12-31 06:05:50,-1.2675,116.8289,86.99,62,20,4.61
275,Mokrous,RU,2022-12-31 06:06:51,51.2333,47.5167,32.56,97,100,9.91
276,Maldonado,UY,2022-12-31 06:06:51,-34.6667,-54.9167,76.23,48,0,8.3
277,Inhambane,MZ,2022-12-31 06:06:52,-23.865,35.3833,81.07,56,77,10.11
278,Sisimiut,GL,2022-12-31 06:06:52,66.9395,-53.6735,4.01,79,100,9.66
279,Hami,CN,2022-12-31 06:06:52,42.8,93.45,23.74,39,100,3.04
